,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
0,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002570001","Oct 30, 2019",CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
1,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huaraz,"01306015200-2019-
0002010000","Oct 29, 2019",EN INVESTIGACION PREVENTIVA,RESPONSABILIDAD DE SERVIDOR PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS
2,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640001","Oct 16, 2019",CON ARCHIVO (CALIFICA),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
3,"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,01ºfiscalia Especializada En Prevencion Del Delito-Lima Norte(Ncpp),"00606010901-2019-
0012610000","Oct 9, 2019",NO HA LUGAR,ABUSO DE AUTORIDAD
4,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640000","Sep 25, 2019",DENUNCIA PENDIENTE,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
5,"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,50°Fiscalia Provincial En Lo Penal De Lima,"00506010150-2019-
0005530000","Jun 26, 2019",DENUNCIA PENDIENTE,ESTAFA
6,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,06º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2019-
0006300000","Jun 25, 2019",EN CALIFICACION (CALIFICA),OMISION ILEGAL DE ACTO DE SU CARGO
7,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690002","Jun 14, 2019",CONSULTA RESUELTA,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
8,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01º Fiscalia Provincial Penal De Surquillo,"00506150101-2019-
0005970000","May 30, 2019",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
9,"BAZÁN VILLANUEVA, LENIN FERNANDO",Frente Amplio,La Libertad,Fiscalia Superior Mixta De Sanchez Carrion,"02305090600-2019-
0000160000","May 27, 2019",DENUNCIA PENDIENTE,GRAVE PERTURBACION DE LA TRANQUILIDAD PUBLICA (USANDO CUALQUIER MEDIO RAZONABLE CAPAZ DE PRODUCIR AL
10,"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01° Fiscalia Provincial Prevencion Del Delito,"00507010951-2019-
0008480000","May 23, 2019",DERIVADO,DELITO CONTRA LA SEGURIDAD PUBLICA
11,"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,57ºfiscalia Provincial En Lo Penal De Lima,"00506010157-2019-
0004220000","May 23, 2019",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
12,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900001","May 10, 2019",CON ARCHIVO (CALIFICA),CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
13,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900000","May 10, 2019",FORMALIZA INVESTIGACION PREPARATORIA,CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
14,"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001210000","Mar 29, 2019",DENUNCIA PENDIENTE,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
15,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000690000","Mar 29, 2019",DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
16,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000700000","Mar 29, 2019",DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
17,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2019-
0006830000","Mar 25, 2019",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
18,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350001","Mar 22, 2019",CON SOBRESEIMIENTO,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
19,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870002","Mar 21, 2019",CONSULTA RESUELTA,ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
20,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0003750002","Mar 21, 2019",FORMALIZA INVESTIGACION PREPARATORIA,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
